Column1,song_name,artist_name,key_scale,dynamic_complexity,happy,non_happy,arousal,valence,danceability,aggressive,non_aggressive,sad,non_sad,relaxed,non_relaxed,party,non_party,youtube_url_manual
מיכל - אליאב זוהר,מיכל,אליאב זוהר,minor,4.843055248,0.176677719,0.823322237,4.468525887,4.509309769,0.956030369,0.188429922,0.811570108,0.731326044,0.268674016,0.381204247,0.618795753,0.40983364,0.59016633,
מי זאת - Anna Zak,מי זאת,Anna Zak,minor,7.50543499,0.115556456,0.884443521,3.823739529,4.022089481,1.185512781,0.191610187,0.808389843,0.464228928,0.535771072,0.258226871,0.741773069,0.505967855,0.494032115,
מטפסים על הקירות - Eden Hason,מטפסים על הקירות,Eden Hason,major,3.007103205,0.203659892,0.796340168,4.54002285,4.711380959,1.215065002,0.064567007,0.93543303,0.491212279,0.508787692,0.209074706,0.790925264,0.682614028,0.317386001,
I Ain't Worried - OneRepublic,I Ain't Worried,OneRepublic,major,2.939245462,0.166255862,0.833744109,4.475974083,4.535234928,1.08935082,0.45784536,0.54215461,0.8005445,0.199455515,0.41132009,0.58867985,0.270220727,0.729779303,
"עולה על שולחנות - Marina Maximilian, Itay Galo",עולה על שולחנות,"Marina Maximilian, Itay Galo",minor,6.611048222,0.125618264,0.874381781,4.201710701,4.757687569,1.09317553,0.286766171,0.713233769,0.689564347,0.310435623,0.223887056,0.776112974,0.500338137,0.499661833,
"דובשנייה - Shahar Saul, Agam Buhbut, NOROZ",דובשנייה,"Shahar Saul, Agam Buhbut, NOROZ",minor,3.964644909,0.163175389,0.836824656,4.589770317,4.657296181,1.06415987,0.334880561,0.665119469,0.762775898,0.237224072,0.350500375,0.649499655,0.43742457,0.562575459,
ספרי להם הכל - Avi Aburomi,ספרי להם הכל,Avi Aburomi,major,3.670801163,0.071756437,0.928243577,3.965631962,4.110648155,1.100120425,0.545883119,0.454116851,0.703348219,0.296651751,0.449134231,0.550865769,0.530822635,0.469177336,
Under The Influence - Chris Brown,Under The Influence,Chris Brown,major,4.253582001,0.287823766,0.712176204,5.208171368,5.166913033,1.306396365,0.262081593,0.737918437,0.830904961,0.169095039,0.558810711,0.441189259,0.212863266,0.787136734,
יחפים - Jasmin Moallem,יחפים,Jasmin Moallem,major,5.801971436,0.007914848,0.992085159,3.78188324,4.68830204,1.021230698,0.050327238,0.949672818,0.363684922,0.636315107,0.028077628,0.971922398,0.785275698,0.214724317,
"אני אוהב, אני מכור, אני שרוף - Adir Getz","אני אוהב, אני מכור, אני שרוף",Adir Getz,major,6.411989212,0.112559706,0.887440324,4.70306015,5.344189644,1.048218012,0.314875394,0.685124576,0.870764375,0.12923561,0.358929902,0.641070127,0.640121281,0.359878749,
Sucks to Know You (FU) - Mergui,Sucks to Know You (FU),Mergui,minor,5.399147511,0.065337978,0.934662044,4.334499359,4.687902451,1.042777181,0.520929754,0.479070276,0.744059801,0.255940259,0.415034115,0.584965825,0.315793335,0.684206605,
SNAP - Rosa Linn,SNAP,Rosa Linn,major,5.607120514,0.29051891,0.70948112,4.960191727,4.915884495,1.085466623,0.782022119,0.217977926,0.938362718,0.061637241,0.77379185,0.22620818,0.309684575,0.690315425,
"לבחור נכון & פוליטיקה וסקס - Omer Adam, Amir Dadon",לבחור נכון & פוליטיקה וסקס,"Omer Adam, Amir Dadon",minor,5.221693993,0.107738696,0.892261326,4.340983868,5.069779873,0.974412024,0.273408055,0.726591945,0.818076193,0.181923836,0.488272518,0.511727512,0.290845603,0.709154427,
"בסוף נרקוד - Osher Cohen, Shahar Saul",בסוף נרקוד,"Osher Cohen, Shahar Saul",minor,3.455579042,0.235460103,0.764539897,4.314264774,4.482422352,0.998731911,0.474278301,0.525721729,0.883381248,0.11661873,0.547022223,0.452977747,0.297649682,0.702350318,
Bad Habit - Steve Lacy,Bad Habit,Steve Lacy,minor,4.081700802,0.170098975,0.82990104,5.281796455,4.925459862,1.17942667,0.481063038,0.518936932,0.94169426,0.058305759,0.742262125,0.257737875,0.317922622,0.682077408,
מה פספסתי - Eden Hason,מה פספסתי,Eden Hason,minor,4.293644428,0.139168993,0.860831022,4.630846977,4.597428322,1.363166094,0.310677171,0.689322829,0.820390224,0.179609776,0.51271081,0.48728919,0.641640127,0.358359843,
מלכת הרחבה - Ran Danker,מלכת הרחבה,Ran Danker,major,5.601468563,0.11772877,0.882271171,4.637294769,4.787690639,1.222501874,0.366942316,0.633057654,0.605111837,0.394888163,0.406082243,0.593917727,0.412595123,0.587404847,
מה עובר לך בראש - Avi Aburomi,מה עובר לך בראש,Avi Aburomi,major,5.996391296,0.081317939,0.918682039,4.343266964,4.448828697,1.012695432,0.255521208,0.744478762,0.526433289,0.473566681,0.239656612,0.760343432,0.582795203,0.417204797,
מדליקה לי הכל - Eden Hason,מדליקה לי הכל,Eden Hason,minor,4.583694935,0.170147389,0.829852581,4.831208229,4.795700073,1.180605769,0.10492485,0.895075202,0.662897229,0.337102801,0.28271085,0.71728915,0.514743268,0.485256732,
Another Love - Tom Odell,Another Love,Tom Odell,minor,7.149653912,0.205990896,0.794009149,3.9798944,4.045118809,1.12776792,0.261186093,0.738813937,0.648897588,0.351102382,0.365430802,0.634569228,0.380411983,0.619588017,
Sweater Weather - The Neighbourhood,Sweater Weather,The Neighbourhood,major,4.795104027,0.005968451,0.994031489,3.616343498,4.599684715,0.99302119,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205,
"שלושה בנות - Noa Kirel, Gitit Fisher",שלושה בנות,"Noa Kirel, Gitit Fisher",minor,4.060545444,0.201521829,0.798478186,4.540789604,4.6599617,1.135527611,0.338860959,0.661139071,0.830708206,0.169291809,0.446036994,0.553963006,0.331388891,0.668611109,
"חמישי שישי - Osher Cohen, Nadav Navi Aharoni",חמישי שישי,"Osher Cohen, Nadav Navi Aharoni",minor,2.828021049,0.189671084,0.81032896,4.912098885,4.75912714,1.279616475,0.847907126,0.152092874,0.937269926,0.062730052,0.824904084,0.175095901,0.173551098,0.826448858,
Heat Waves - Glass Animals,Heat Waves,Glass Animals,major,5.493142605,0.138685629,0.861314416,5.488412857,5.350234985,1.042759538,0.264210075,0.735789895,0.924473524,0.075526506,0.578078628,0.421921313,0.140628174,0.859371841,
Doja - Central Cee,Doja,Central Cee,minor,5.968987942,0.288138121,0.711861908,6.739246845,6.695221901,1.236656904,0.287729889,0.712270081,0.974433422,0.025566518,0.714599371,0.285400569,0.097503796,0.902496159,
"עולם משוגע - Tuna, Ravid Plotnik",עולם משוגע,"Tuna, Ravid Plotnik",minor,3.005087852,0.189404115,0.81059587,3.801808596,4.306910992,1.190005183,0.167922899,0.832077146,0.575312674,0.424687326,0.260484427,0.739515603,0.378750265,0.621249735,
"ביחד - Marina Maximilian, Guy Mentesh",ביחד,"Marina Maximilian, Guy Mentesh",major,7.227883339,0.028921813,0.971078157,4.848984718,5.560963631,1.101805925,0.225497901,0.774502158,0.483888745,0.516111255,0.14242056,0.85757947,0.629055321,0.370944679,
תמיד שלך - Omer Adam,תמיד שלך,Omer Adam,major,3.167073011,0.063612357,0.936387658,4.63232708,4.641346931,1.078624725,0.626319826,0.373680174,0.862621069,0.137378931,0.630742013,0.369257957,0.299321979,0.700677991,
"זאת שמעל לכל המצופה - נופיה ידידיה, הכוכב הבא",זאת שמעל לכל המצופה,"נופיה ידידיה, הכוכב הבא",major,2.764953375,0.079874918,0.920125067,3.952930927,4.504028797,0.993831158,0.471154988,0.528845012,0.803722978,0.196276993,0.469807088,0.530192912,0.270681709,0.729318261,
בואי נישן על זה - Eden Hason,בואי נישן על זה,Eden Hason,major,5.30604887,0.009956375,0.99004364,4.062847614,4.962136269,1.060719609,0.079011425,0.92098856,0.39696303,0.60303694,0.045224536,0.954775512,0.733552217,0.266447783,
לך לישון - Anna Zak,לך לישון,Anna Zak,minor,4.072952747,0.054815773,0.945184171,4.506355286,4.50252533,1.422402859,0.174100265,0.82589978,0.719410956,0.280589074,0.393747896,0.606252074,0.275351375,0.724648654,
Lie Like This - Mergui,Lie Like This,Mergui,major,6.398413181,0.095304728,0.904695272,4.869612694,5.354449272,1.11041224,0.374645084,0.625354886,0.715294063,0.284705907,0.320803821,0.679196179,0.417795092,0.582204878,
שקיעות אדומות - Eden Hason,שקיעות אדומות,Eden Hason,major,6.923481941,0.187489092,0.812510908,6.292859077,5.642412186,0.956824303,0.430882126,0.569117904,0.971042275,0.028957769,0.757929862,0.242070138,0.120232344,0.879767716,
About Damn Time - Lizzo,About Damn Time,Lizzo,minor,7.391877651,0.005968451,0.994031489,3.616343498,4.599684715,1.332345366,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205,
"בשורות טובות - Agam Buhbut, הפשוטע",בשורות טובות,"Agam Buhbut, הפשוטע",minor,4.508795738,0.257074803,0.742925227,4.592467785,4.667992592,1.120225072,0.713302851,0.286697149,0.929166675,0.070833273,0.754797637,0.245202422,0.210371777,0.789628267,
לבד על המיטה - Omer Adam,לבד על המיטה,Omer Adam,minor,4.11300993,0.217655987,0.782343984,5.753742695,5.249101639,0.974477708,0.393967986,0.606032014,0.920706928,0.079293087,0.79062897,0.20937109,0.215580672,0.784419358,
Running Up That Hill (A Deal With God) - Kate Bush,Running Up That Hill (A Deal With God),Kate Bush,minor,3.830137968,0.0055584,0.994441569,3.619343758,4.61031723,1.037805319,0.041165553,0.958834469,0.36003089,0.63996917,0.022339337,0.977660656,0.838125944,0.161874026,
שמש - Hanan Ben Ari,שמש,Hanan Ben Ari,major,4.069552898,0.100941807,0.899058223,4.724555969,4.712664604,0.959786177,0.194400668,0.805599272,0.70679903,0.293200999,0.426676154,0.573323786,0.314888567,0.685111463,
יהיה טוב - Jasmin Moallem,יהיה טוב,Jasmin Moallem,major,3.353116035,0.24323763,0.756762385,3.978811026,4.299074173,1.273949385,0.656574786,0.343425274,0.824304402,0.175695598,0.529162467,0.470837563,0.264850587,0.735149384,
לצאת מדיכאון - יגל אושרי,לצאת מדיכאון,יגל אושרי,major,4.152713776,0.20044902,0.79955101,4.165287971,4.145778179,1.056485653,0.125759974,0.8742401,0.54205358,0.45794639,0.255222261,0.744777739,0.535035551,0.464964449,
"יהיה טוב & מים שקופים - Omer Adam, Jasmin Moallem",יהיה טוב & מים שקופים,"Omer Adam, Jasmin Moallem",major,4.603096008,0.005968451,0.994031489,3.616343498,4.599684715,1.096559525,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205,
אהבה - Osher Cohen,אהבה,Osher Cohen,minor,4.865843296,0.206105769,0.793894231,5.771708488,5.496965408,1.11597383,0.42550683,0.57449317,0.946914315,0.05308567,0.731961787,0.268038183,0.357001007,0.642998934,
"חורף 23 - Odeya, E-Z",חורף 23,"Odeya, E-Z",major,4.484176159,0.114288904,0.885711133,4.171075821,4.267326355,1.142748475,0.128051013,0.871949017,0.598338664,0.401661336,0.2302147,0.769785285,0.528394222,0.471605748,
עם ישראל חי - Eyal Golan,עם ישראל חי,Eyal Golan,major,3.143705606,0.084428467,0.915571511,4.324753761,4.463048458,1.238137007,0.349829376,0.650170624,0.677280664,0.322719306,0.406638652,0.593361318,0.414376497,0.585623503,
ככה וככה - Osher Cohen,ככה וככה,Osher Cohen,minor,5.731076241,0.010373692,0.989626288,3.877267361,4.901348114,1.119709969,0.070163563,0.929836452,0.38501054,0.61498946,0.035166871,0.9648332,0.788924456,0.211075544,
משהו אמיתי בעיניים - ששון איפרם שאולוב,משהו אמיתי בעיניים,ששון איפרם שאולוב,minor,4.557133675,0.162008941,0.837991059,4.240459442,4.593020439,1.015580654,0.65135628,0.34864375,0.810891032,0.189108923,0.531207263,0.468792766,0.395699471,0.604300499,
"לאהוב אותך כל יום - Doli & Penn, Eden Hason",לאהוב אותך כל יום,"Doli & Penn, Eden Hason",major,6.051380634,0.106304966,0.893695056,4.901453495,4.715986729,1.047658563,0.482645035,0.517354906,0.877202988,0.122797005,0.700847089,0.299152881,0.304499328,0.695500672,
greedy - Tate McRae,greedy,Tate McRae,major,4.776213169,0.313642323,0.686357617,4.96721983,4.68616581,1.128448367,0.320734292,0.679265678,0.870317996,0.129682004,0.579901218,0.420098782,0.313261449,0.686738551,
Si No Estás - iñigo quintero,Si No Estás,iñigo quintero,major,3.624278307,0.116638392,0.883361578,5.457338333,5.274839401,1.08278811,0.548105001,0.451894969,0.924681485,0.075318485,0.796904147,0.203095913,0.177590981,0.822408974,
תרקדי (7.10.23) - Osher Cohen,תרקדי (7.10.23),Osher Cohen,major,6.608694553,0.12739715,0.87260288,4.606660843,5.313664913,0.893764496,0.246308506,0.753691554,0.610342801,0.389657229,0.175306246,0.824693799,0.639772534,0.360227406,
"עזבת ת'בית - Peled, Nastia Rod",עזבת ת'בית,"Peled, Nastia Rod",minor,2.880321503,0.154641971,0.845358074,4.876653194,4.766395092,1.180190086,0.483121932,0.516878068,0.849091649,0.150908321,0.607307017,0.392692953,0.400292695,0.599707246,
מולדת - Hanan Ben Ari,מולדת,Hanan Ben Ari,minor,5.362480164,0.128518522,0.871481478,4.929801941,4.816878319,0.948816061,0.157486007,0.842514038,0.742031753,0.257968307,0.520647943,0.479352027,0.28215459,0.71784544,
"38 וחוץ מכדורגל - Hanan Ben Ari, Peer Tasi",38 וחוץ מכדורגל,"Hanan Ben Ari, Peer Tasi",major,4.861474037,0.006769184,0.99323082,3.572881699,4.560818672,1.069507957,0.108106002,0.891893983,0.377609253,0.622390687,0.036561128,0.963438809,0.705793977,0.294205993,
"תרקוד לנצח - Omer Adam, Infected Mushroom",תרקוד לנצח,"Omer Adam, Infected Mushroom",minor,3.718841076,0.042127483,0.95787251,4.16307354,4.823923111,1.160867095,0.340985924,0.659014106,0.662700772,0.337299258,0.287336916,0.712663054,0.500755072,0.499244928,
Strangers - Kenya Grace,Strangers,Kenya Grace,major,2.68047452,0.09259288,0.907407165,4.680862904,4.557954788,1.205033898,0.711347342,0.288652658,0.887912095,0.112087958,0.80163902,0.19836095,0.300211221,0.699788809,
סטלות - Omer Adam,סטלות,Omer Adam,minor,4.17224884,0.005968451,0.994031489,3.616343498,4.599684715,1.230811834,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205,
כל הכוכבים - Tuna,כל הכוכבים,Tuna,minor,5.633679867,0.051690701,0.948309362,4.545163155,5.456661701,1.118296862,0.191259921,0.808740079,0.813557148,0.186442897,0.318869859,0.681130111,0.681575477,0.318424523,
"את חסרה לי & אורות - Avraham Tal, Eden Hason",את חסרה לי & אורות,"Avraham Tal, Eden Hason",major,4.007905006,0.290885419,0.709114611,5.315529823,5.306599617,1.082241893,0.443354726,0.556645274,0.941975772,0.058024175,0.72653991,0.27346012,0.229020312,0.770979762,
"אני פה - Osher Cohen, Odeya",אני פה,"Osher Cohen, Odeya",major,4.967988968,0.077539325,0.922460616,3.755607128,4.182087421,1.065321445,0.128257036,0.871742964,0.53422904,0.46577096,0.195042819,0.804957151,0.607287824,0.392712146,
שלום אהובתי - Eyal Golan,שלום אהובתי,Eyal Golan,minor,4.607030392,0.139393583,0.860606432,5.076067924,4.80232048,1.03183341,0.345269531,0.654730439,0.885009229,0.114990771,0.666478455,0.333521515,0.337320179,0.662679791,
אינטלקטוערסית - Odeya,אינטלקטוערסית,Odeya,minor,4.594796658,0.114992909,0.885007083,4.813269615,4.925606728,1.183689117,0.476465911,0.52353406,0.897688091,0.102311887,0.580302894,0.419697106,0.305784225,0.694215715,
Paint The Town Red - Doja Cat,Paint The Town Red,Doja Cat,major,8.149404526,0.204935357,0.795064688,4.229879856,4.774503231,1.121412873,0.477260858,0.522739112,0.831745744,0.168254271,0.551103354,0.448896646,0.359824419,0.640175581,
עטלף עיוור - Hanan Ben Ari,עטלף עיוור,Hanan Ben Ari,minor,6.249302864,0.005773682,0.994226396,3.436750412,4.325507641,0.965420365,0.046489593,0.953510404,0.335674882,0.664325118,0.021642718,0.978357315,0.8603338,0.139666259,
"שושנים עצובות (ישראל בידור) - Eden Hason, Jasmin Moallem, Israel Bidur",שושנים עצובות (ישראל בידור),"Eden Hason, Jasmin Moallem, Israel Bidur",minor,6.08196497,0.107372262,0.892627716,4.461386681,5.305897713,1.098645329,0.546200991,0.453799069,0.726966619,0.27303341,0.300968945,0.699031115,0.495106727,0.504893303,
אהבה חולה - Peer Tasi,אהבה חולה,Peer Tasi,minor,4.723923683,0.338083446,0.661916554,4.707711697,4.764160633,1.243116498,0.603741884,0.396258146,0.927915633,0.072084323,0.695668876,0.304331064,0.245427057,0.754572988,
עיר נמל - Eyal Golan,עיר נמל,Eyal Golan,minor,4.197591305,0.006116103,0.993883908,3.747279167,4.432431698,1.228900313,0.141416907,0.858583033,0.46437034,0.53562963,0.042548556,0.957451403,0.655026257,0.344973743,
‏שלווה בארמונותייך - Ravid Plotnik,‏שלווה בארמונותייך,Ravid Plotnik,minor,4.942052364,0.159725457,0.840274572,5.799274445,5.357959747,1.030895591,0.518940747,0.481059253,0.965593159,0.034406878,0.775079489,0.224920541,0.292389929,0.707610011,
את חסרה לי - Eden Hason,את חסרה לי,Eden Hason,major,4.42616415,0.064117722,0.93588233,4.378650665,4.800902843,1.030659318,0.218592227,0.781407773,0.539811015,0.460189015,0.268341541,0.731658399,0.502630591,0.497369379,
אף פעם לא לבד - Inbal Bibi,אף פעם לא לבד,Inbal Bibi,major,5.655209064,0.107535973,0.892464042,4.839829922,4.987435341,1.080974936,0.715302825,0.284697175,0.933792293,0.066207737,0.644382119,0.355617821,0.1082993,0.891700685,
"צונאמי - Jasmin Moallem, Mergui",צונאמי,"Jasmin Moallem, Mergui",minor,5.163282871,0.146756634,0.853243351,4.031783104,4.14434433,1.139315248,0.450476319,0.549523652,0.616216958,0.383783102,0.373468041,0.626532018,0.371796459,0.628203571,
"סיגליות - Omer Adam, David Broza",סיגליות,"Omer Adam, David Broza",minor,5.796467781,0.097182579,0.902817369,4.500599861,4.760457993,1.06406498,0.507841825,0.492158175,0.789519608,0.210480392,0.523073792,0.476926178,0.208188504,0.791811526,
רונדלים - Static,רונדלים,Static,minor,3.423528194,0.297599554,0.702400446,4.451541424,4.460193634,1.101505876,0.120753206,0.879246831,0.747949898,0.252050102,0.489614993,0.510385036,0.388084918,0.611915052,
"אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi) - Avi Aburomi, Mor",אין אותנו יותר (By Tamar Yahalomy & Yonatan Kalimi),"Avi Aburomi, Mor",major,6.177942753,0.044565629,0.955434382,3.59219408,4.116418839,1.040865064,0.260077059,0.739922881,0.526959419,0.473040611,0.201534882,0.798465073,0.577864826,0.422135234,
טיל פצמר - LIAD MEIR,טיל פצמר,LIAD MEIR,minor,4.665133953,0.197717711,0.802282333,4.996716499,5.125655174,1.141034126,0.342931181,0.657068789,0.620291412,0.379708529,0.244520679,0.755479276,0.728138745,0.271861255,
תראי אהובתי - Osher Cohen,תראי אהובתי,Osher Cohen,major,5.299224377,0.005968451,0.994031489,3.616343498,4.599684715,1.032757044,0.042205974,0.957794011,0.361118585,0.638881445,0.024102194,0.975897849,0.83382684,0.166173205,
מתי את חוזרת - Eyal Golan,מתי את חוזרת,Eyal Golan,minor,5.162718296,0.005892057,0.994107962,3.544901848,4.597513199,1.046190858,0.048705332,0.95129472,0.31985718,0.68014282,0.020346899,0.97965312,0.831648409,0.168351546,
עד מחר - Eviatar Banai,עד מחר,Eviatar Banai,major,3.572841883,0.132690102,0.867309928,4.024298668,4.207428455,0.887359917,0.127848387,0.872151613,0.54981482,0.45018521,0.259892106,0.740107894,0.509531856,0.490468144,
לא תראה אותי בוכה - Eden Hason,לא תראה אותי בוכה,Eden Hason,major,3.18561697,0.103412978,0.896587014,4.234979153,4.852240562,1.089135051,0.26184836,0.73815167,0.656867325,0.343132704,0.208656177,0.791343868,0.610873699,0.389126301,
vampire - Olivia Rodrigo,vampire,Olivia Rodrigo,major,5.959181309,0.007692723,0.992307246,3.541828394,4.348650932,1.019196868,0.071732096,0.928267956,0.257679433,0.742320597,0.01965427,0.980345786,0.812775552,0.187224418,
ואיך שלא - Ariel Zilber,ואיך שלא,Ariel Zilber,major,5.368612766,0.094951563,0.90504843,4.152318478,4.455986023,1.08879745,0.417015165,0.582984805,0.846636295,0.15336372,0.437686414,0.562313616,0.394305557,0.605694413,
I Wanna Be Yours - Arctic Monkeys,I Wanna Be Yours,Arctic Monkeys,minor,5.072583199,0.147098869,0.852901101,4.852560997,5.292113304,1.31460011,0.511134028,0.488865972,0.738085449,0.261914611,0.389331609,0.610668361,0.309466898,0.690533042,
"תיק קטן - STILLA, Ness",תיק קטן,"STILLA, Ness",minor,6.972081184,0.022773437,0.977226615,4.210145473,4.678267479,1.1444242,0.495464534,0.504535496,0.687794805,0.312205225,0.29843241,0.70156759,0.493187428,0.506812572,
"פרובוקטיבית - Noa Kirel, Forever Tel Aviv, Sagi Kariv",פרובוקטיבית,"Noa Kirel, Forever Tel Aviv, Sagi Kariv",minor,3.228796959,0.184638724,0.815361261,4.961903572,5.237770557,1.135417938,0.298236638,0.701763332,0.745437682,0.254562289,0.357374907,0.642625093,0.392181069,0.607818902,
"אולסטאר וגופיות - Anna Zak, Itay Galo",אולסטאר וגופיות,"Anna Zak, Itay Galo",minor,5.303832054,0.066168077,0.933831871,4.780815125,5.264144897,1.282043099,0.449840724,0.550159335,0.785434425,0.214565575,0.35661155,0.64338845,0.545330822,0.454669148,
"ברולטה - עידו בי, ערן יוסף, שגב",ברולטה,"עידו בי, ערן יוסף, שגב",minor,3.465303183,0.109822184,0.890177786,4.295339108,4.498001099,1.12606144,0.681960344,0.318039626,0.855561376,0.144438609,0.649696887,0.350303084,0.273483515,0.726516485,
עד שתבואי עד אליי - Eden Hason,עד שתבואי עד אליי,Eden Hason,minor,4.10935688,0.109326959,0.890673041,4.171309948,4.526154518,1.21835947,0.356713772,0.643286228,0.533809125,0.466190815,0.315676481,0.684323549,0.423260808,0.576739192,
אז מה עכשיו - Eden Hason,אז מה עכשיו,Eden Hason,major,4.410238266,0.014181877,0.985818088,5.483880997,6.441585064,1.060373068,0.54685688,0.453143179,0.868246973,0.131753087,0.316576302,0.683423698,0.567635953,0.432364017,
"Sprinter - Dave, Central Cee",Sprinter,"Dave, Central Cee",minor,4.047381878,0.337927669,0.662072301,5.600718975,5.182731628,1.293731689,0.658753932,0.341246068,0.973591328,0.026408708,0.866085529,0.1339145,0.153403461,0.846596479,
Unicorn - Noa Kirel,Unicorn,Noa Kirel,minor,4.564026356,0.014208233,0.985791802,3.807617664,5.036401749,0.948378205,0.091605164,0.908394873,0.504487216,0.495512784,0.06738086,0.932619154,0.839515388,0.160484612,
"משוגעת - Gal Adam, NOROZ",משוגעת,"Gal Adam, NOROZ",minor,3.25270915,0.237458289,0.762541711,4.275084496,4.433021545,1.110053778,0.206421927,0.793578029,0.730395854,0.269604117,0.408386409,0.59161365,0.398399949,0.601600051,
Flowers - Miley Cyrus,Flowers,Miley Cyrus,minor,3.797583103,0.093710214,0.906289756,4.359658241,4.72341156,1.213970423,0.48508203,0.51491797,0.837940574,0.162059382,0.435017824,0.564982176,0.442904055,0.557095945,
Tattoo - Loreen,Tattoo,Loreen,minor,4.175564766,0.344072968,0.655927062,5.471547127,5.397673607,1.065032244,0.766750634,0.233249381,0.975262463,0.024737557,0.804181874,0.195818126,0.190325916,0.809674084,
"פלואו של טמבל 2 - LIAD MEIR, רון חיון",פלואו של טמבל 2,"LIAD MEIR, רון חיון",minor,3.032411814,0.065960839,0.934039235,4.918370247,5.130936146,1.226822853,0.198259637,0.801740408,0.649584889,0.350415081,0.254679829,0.745320141,0.684921384,0.315078646,
מי את היום בלעדיי - Yonatan Kalimi,מי את היום בלעדיי,Yonatan Kalimi,major,6.124343395,0.04087371,0.959126294,4.179360867,4.988212109,1.09843576,0.140023321,0.859976649,0.448818862,0.551181138,0.110503405,0.889496565,0.624183774,0.375816226,
"גושפנקא - E-Z, Noa Kirel",גושפנקא,"E-Z, Noa Kirel",minor,3.724014044,0.093782738,0.906217277,4.814577103,4.766029358,1.322470546,0.836375356,0.163624629,0.933192551,0.066807449,0.782402098,0.217597902,0.194897488,0.805102527,
"כנפיים - Live - Tuna, Margalit Tzan'ani",כנפיים - Live,"Tuna, Margalit Tzan'ani",minor,4.285075665,0.083737276,0.916262746,5.143506527,5.803287506,1.182595015,0.595369995,0.404630005,0.91099757,0.089002453,0.688734114,0.311265916,0.238169298,0.761830747,
